Rank,Artist,Listeners,PkListeners,Daily Trend
1,The Weeknd,"107,592,328","113,034,886","-138,880"
2,Taylor Swift,"101,003,302","101,003,302",889
3,Ed Sheeran,"76,475,126","87,934,910","-68,137"
4,Dua Lipa,"76,421,916","77,778,397","-71,356"
5,Bad Bunny,"76,162,057","83,950,570","-199,052"
6,Rihanna,"75,784,389","80,958,750","116,405"
7,Drake,"75,371,611","76,391,086","-67,013"
8,Justin Bieber,"72,623,228","75,467,229","34,540"
9,Billie Eilish,"71,793,820","72,368,528","-72,877"
10,Miley Cyrus,"71,277,599","84,140,935","71,089"
11,David Guetta,"70,838,823","75,163,500","-97,589"
12,Travis Scott,"67,161,542","75,422,869","-362,718"
13,Ariana Grande,"66,501,219","82,981,758","26,682"
14,Coldplay,"65,709,359","69,814,134","-24,710"
15,Calvin Harris,"65,035,055","67,342,768","32,662"
16,Shakira,"64,372,012","82,268,835","-130,204"
17,Eminem,"64,022,485","68,591,390","-52,362"
18,Post Malone,"63,914,311","67,066,636","-55,144"
19,Bruno Mars,"63,867,677","63,867,677","246,177"
20,Doja Cat,"63,625,260","63,625,260","716,207"
21,Nicki Minaj,"62,742,304","65,680,733","-199,822"
22,SZA,"61,778,853","69,932,543","-1,645"
23,Harry Styles,"59,560,609","66,411,599","-131,842"
24,Olivia Rodrigo,"58,763,998","58,763,998","732,723"
25,Imagine Dragons,"58,675,255","61,624,656","139,463"
26,Kanye West,"58,060,520","58,060,520","91,184"
27,Maroon 5,"57,136,964","58,793,104","-16,983"
28,Marshmello,"57,114,865","58,346,399","125,302"
29,KAROL G,"56,787,835","59,143,777","-42,758"
30,Lana Del Rey,"56,710,801","56,740,687","-29,886"
31,Sam Smith,"56,001,427","73,972,799","3,604"
32,21 Savage,"55,901,908","61,319,583","86,564"
33,Selena Gomez,"55,309,116","58,879,269","208,288"
34,Daddy Yankee,"54,174,801","58,098,739","-95,548"
35,Lady Gaga,"52,765,199","57,730,508","-1,753"
36,Metro Boomin,"52,207,822","62,911,430","-97,261"
37,Future,"52,074,976","58,360,653","-148,160"
38,Khalid,"51,957,671","54,186,217","-57,019"
39,J Balvin,"51,590,178","54,792,335","-73,978"
40,Beyonc̩,"51,442,770","55,563,018","-122,792"
41,Adele,"51,380,385","53,902,159","57,407"
42,Katy Perry,"51,148,181","53,998,988","51,119"
43,Peso Pluma,"50,247,712","53,877,990","71,053"
44,Elton John,"48,343,456","50,362,330","43,055"
45,Queen,"47,586,054","48,573,860","93,668"
